motif_id,motif_base,name,description,n_traditions,pareidolic,perceptual_class,perceptual,perceptual_v2,is_celestial,pc_class,pc_subtype,pc_engine
e9i_5,e9i,Swan-wife,"Man marries swan- (or goose-, duck-, crane-)woman; supernatural woman takes form of a swan, etc.",65,False,,False,False,False,NONE,,rule
e9j_5,e9j,Monkey-wife,Man marries monkey-woman; supernatural woman takes form of a monkey or the man pretends that the house-keeper is a monkey,7,False,,False,False,False,NONE,,rule
e9k_5,e9k,Spouse is honey (bee),A man or a woman is incarnation of the honey or a bee-person,6,False,,False,False,False,NONE,,rule
e10_5,e10,Pets turn into children,A lonely woman or married couple surprises birds or animals who live in their house and take their skins off when nobody looks at them. Birds or animals (usually pups) become children,30,False,,False,False,False,NONE,,rule
e11_10,e11,The burned skin,Magic person reveals his true nature and/or remains with the real people after the object responsible for preserving the non-human appearance (usually an animal skin) is destroyed (usually burned),144,False,,False,False,False,NONE,,rule
e13a_6,e13a,Ritual objects from under the water,People obtain ritual objects from under the water or brings them back to the underwater world,13,False,,False,False,False,NONE,,rule
e14_6,e14,Rituals from the dead,Rituals are obtains from ghosts,15,False,,False,False,False,NONE,,rule
e14a_6,e14a,Masks represent the killed demons,People prepare ritual costumes and masks coping the features from the real demons whom they have killed,5,False,,False,False,False,NONE,,rule
e15_6,e15,Ducks and canoes,People learn from aquatic birds how to make canoes or how to paddle; or the first canoe is a transformed bird or is made of bird bones,20,False,,False,False,False,NONE,,rule
e15a_6,e15a,Breast bone as a canoe model,Frame of canoe is made according to breast bone of a bird,7,False,,False,False,False,NONE,,rule
e15b_6,e15b,Birds sew canoe covering,"While man is asleep, birds turn into girls and sew covering of his canoe",7,False,,False,False,False,NONE,,rule
e16_6,e16,Paddles edgewise,"Riding in canoe, people first turn paddles edgewise, then learn the correct way to use them",9,False,,False,False,False,NONE,,rule
e17_6,e17,Origin of design,"Humans acquire (the idea of) ornamentation of the vessels, baskets, body, etc. after somebody gets to see the pattern on the skin of zoomorphic and/or supernatural creature. Design on the objects copies (is an imprint of) a pattern on such a skin",12,False,,False,False,False,NONE,,rule
e18_6,e18,Snakes and containers,People learn how to decorate ceramics or baskets (usually learn decorated patterns) thanks to a water creature,10,False,,False,False,False,NONE,,rule
e19_6,e19,Origin of drugs: person torn to pieces,Narcotic plants emerge from the body parts of a person who was torn to pieces by others,5,False,,False,False,False,NONE,,rule
e20_6,e20,Fish poison person,"Entering water, certain person makes fish die. From parts of his body or from his grave grows plant used to prepare fish poison (timbo)",17,False,,False,False,False,NONE,,rule
e21_10,e21,Avenged victim of water creatures,Child fishes with poison or his or her body produces fish poison. Fish or water snake kills him or her. The perished child is avenged,10,False,,False,False,False,NONE,,rule
e22_6,e22,Swallowed person obtains knowledge,"Getting into the body of certain being, person obtain knowledge of rituals, songs, ornaments, poison or drugs and then brings it to people",9,False,,False,False,False,NONE,,rule
e23_5,e23,Fleas make person move,"A handful of fleas or lice is thrown into people or into particular person. It was the only way to make him, her or them move and live",9,False,,False,False,False,NONE,,rule
e24_5,e24,Origin of elbows and knees,Human arms and legs become pliant (get joints) when a primeval ancestor(s) fall from height and break his arms and legs,5,False,,False,False,False,NONE,,rule
e26_5,e26,Fished out people,"Man fishes with a hook. Thrown on the ground, the fish turn into the first humans or into the women. (Stories about fishing of women in human guise not included).",13,False,,False,False,False,NONE,,rule
e27_5,e27,People from drops of blood,People emerge from drops of blood that fall from the sky,10,True,,False,False,False,MENTION,celestial,rule
e29_5,e29,Lizard gives proper hands,Two persons (usually Coyote and Lizard) argue if people's hand has to be like a paw or people should have fingers,14,False,,False,False,False,NONE,,rule
e30_5,e30,The make-believe spouse of wood,"Person does not have a spouse, uses wooden fakes for his wife or her husband",18,False,,False,False,False,MENTION,terrestrial,rule
e30a_5,e30a,Make-believe spouse replaced with alive person,"Person does not have a spouse, uses wooden fakes for his wife or her husband till alive person comes to replace it",13,False,,False,False,False,MENTION,terrestrial,rule
e31_5,e31,Pygmalion,"Man makes a wooden doll, makes believe that it is alive. Really it is not or it is half-alive. Usually a real woman takes place of a doll, marries the master",15,False,,False,False,False,MENTION,terrestrial,rule
e31a_11,e31a,Creators and rescuers of a girl,Several men take part in creation or reanimation of a girl (rare: a bird) or several women take part in the reanimation of a dead man or they differetly express their grief. It is asked whose role was crucial (who behavior more noble) and/or who should be the spouse of the reanimated person,106,False,,False,False,False,NONE,,rule
e31b_11,e31b,Rescuers of a man,Several women take part in the reanimation of a dead man. They argue whose role was crucial and/or who of them should be the spouse of the reanimated person,6,False,,False,False,False,NONE,,rule
e32_5,e32,People born from trees,"First people are born by trees or come out of a tree, flower, reed",83,False,,False,False,False,MENTION,terrestrial,rule
e33_5,e33,People from seeds,"People emerge from grains, seeds",14,False,,False,False,False,NONE,,rule
e34_5,e34,Sacred flutes from ogre’s remains,Ogre is killed. Musical instruments used in male rituals and taboo for women emerge from his remains,4,False,,False,False,False,NONE,,rule
e35_5,e35,Webbed fingers,"First people or people made by Creator's rival were imperfect, not completely anthropomorphic (often: had webbed fingers)",29,False,,False,False,False,NONE,,rule
e36_5,e36,Hard covering of the body,Human body was protected with a hard layer now preserved only on fingers and toes as nails,29,False,,False,False,False,NONE,,rule
e37_5,e37,Peoples from sticks,"Creator takes many small sticks, transforms them into people of both sexes and all ages",11,False,,False,False,False,NONE,,rule
e38a_5,e38a,Woman gives birth to many embryos,"Woman gives birth to a gourd, a bag (with eggs), a piece of meat. The flesh is cut into pieces which turn into people or many people come out of the gourd or bag",19,False,,False,False,False,NONE,,rule
e38b_5,e38b,People from gourd,"After the world cataclysm or in the beginning of times a gourd survives or appears, new people come out of it",17,False,,False,False,False,NONE,,rule
e39_5,e39,Pig ancestor,A pig is an ancestor of a particular group of people,14,False,,False,False,False,NONE,,rule
e40_5,e40,Nostrils upside,First people have noses with nostrils upside and are in trouble when it rains,3,False,,False,False,False,NONE,,rule
f1_5,f1,First woman is a transformed man,Woman or female supernatural is created by changing the sex of a man,42,False,,False,False,False,NONE,,rule
f2_5,f2,Pregnant limb,"Child is born from a tumor or swelling on person's body (on thigh, knee, finger, etc.) or is temporarily placed there or child grows from blood that flew out from a cut",89,False,,False,False,False,NONE,,rule
f4_5,f4,Child born in jug,"In the beginning of times, a particular person or children in general was or were conceived and grown up in pots, heaps of mud, etc. and not in a womb",20,False,,False,False,False,NONE,,rule
f5_5,f5,Brides for first men,Person cannot or do not want to give his daughters in marriage to all the men who claim them for wives and transforms animals into girls. (Usually in the beginning of times or after the flood many men come to marry the only daughter of God or patriarch),13,False,,False,False,False,NONE,,rule
f5a_11,f5a,Artificial bride,"Person has to give his daughter or sister in marriage. Having no woman to suggest or not wanting to give her, he makes artificial girl (of wood, snow, etc.), sends servant girl instead daughter, turns into woman himself, or recognizes his fault when he feels that it is save to do so",26,False,,False,False,False,METAMORPHOSIS,terrestrial,rule
f6_5,f6,Gouged our vagina,Woman has no vagina and it is later made by bird or animal,23,False,,False,False,False,NONE,,rule
f7_5,f7,The water-maiden,"Man takes or attempts to take a wife who is connected with the underwater world (fish, crab, snake, water animal and the like)",131,False,,False,False,False,NONE,,rule
f8_5,f8,Women and men come together,Initially women and men live apart from each other. Later they meet each other and become to live together,36,False,,False,False,False,NONE,,rule
f9_5,f9,A dangerous woman,"For different reasons, sexual contact with a woman is deadly dangerous for a man",198,False,,False,False,False,NONE,,rule
f9a_5,f9a,Vagina dentata,"There are teeth or sharp stones in vagina, vagina is a toothed mouth",105,False,,False,False,False,MENTION,terrestrial,rule
f9b_5,f9b,Piranha in vagina,Biting piranha is in woman's genitals,18,False,,False,False,False,NONE,,rule
f9c_5,f9c,Snake in vagina,"Snake or (in Polynesia: eel) is in vagina, vagina is a mouth of a snake$ or a woman with toothed vagina is associated with a snake$ or a snake crawls out of woman's mouth to bite a man during the copulation",24,False,,False,False,False,NONE,,rule
f9d_5,f9d,Scorpions in vagina,There are dangerous insects in woman's genitals,14,False,,False,False,False,NONE,,rule
f9e_5,f9e,Mice in vagina,There are small mammals with sharp teeth in woman's genitals.,8,False,,False,False,False,NONE,,rule
f9f_10,f9f,Asmodeus,"Demon (snake) regularly kills woman’s husbands during the first night, the woman herself being ignorant about the reason of their death",24,False,,False,False,False,NONE,,rule
f9f1_8,f9f1,Snake inside woman,"Poisonous snake (snakes, scorpions) comes out of the mouth of a woman {Motif F9f1 and K100c are almost identical but F9f1 links to a cluster of etiological/cosmological motifs related to the idea of a dangerous woman while K100c is related to adventures}",30,False,,False,False,False,NONE,,rule
f9f2_10,f9f2,Hood of cobra in wife’s bag,Woman’s snake paramour is killed. She puts part of his body into her bag and gets a right to kill her husband if he woulod not guess what is inside. At the last moment the husband gets to know the secret and kills the woman,2,False,,False,False,False,NONE,,rule
f9g_10,f9g,Brunhilde,A strong woman overcomes and kills suitors. Hero's helper whips and tames her. Hero marries her,43,False,,False,False,False,NONE,,rule
f10_5,f10,Teeth knocked out,"Woman has another toothed mouth (usually in vagina) or biting animals in vagina. Man inserts there a stone, bone, stick, etc. breaking or knocking out the teeth or extracting from there dangerous animals",71,False,,False,False,False,MENTION,terrestrial,rule
f11_5,f11,Biting penis,"Penis is biting, stinging, eats food",16,False,,False,False,False,NONE,,rule
f13_7,f13,Red penis of primates,Human or monkey's genitals becomes red after being injured during copulation with the girl who had toothed vagina or had not any vagina,8,False,,False,False,False,NONE,,rule
f14_5,f14,Son of a rock,Male person copulates with a rock and it gives birth to a hero,12,True,,False,False,False,MENTION,terrestrial,rule
f15_11,f15,Trickster’s penis masked as a plant,Rape of a girl is misled into sitting down on a plant which in reality is a penis,10,False,,False,False,False,NONE,,rule
f16_5,f16,Men and women: exchange of anatomical characteristics,"Initially men possessed women's biological traits and vice versa (beard, menses, breasts, bearing children)",49,False,,False,False,False,NONE,,rule
f17_5,f17,Misplaced genitalia,Women or men originally had or had to have their genitals not on the place where they are now,31,False,,False,False,False,NONE,,rule
f18a_5,f18a,Long penis after prohibited sex,"After contact with a non-human or prohibited partner (close kin, animal, spirit) man's penis becomes so long that he had to carry it in a basket, etc.",27,False,,False,False,False,NONE,,rule
f18b_5,f18b,Penis crawls to women,Man's penis is so long that he can turn it round his waist or send into a woman who is at a long distance from him,74,False,,False,False,False,NONE,,rule
f18c_11,f18c,Girls at the opposite bank,"Seeing a girl on the opposite bank of a river, person uses tricks to have sex with her: sends his long penis, a stream of his seed or some object across the river into her vagina; transforms his penis into a bridge or a dam; dives and copulates with a girl from under the water",26,False,,False,False,False,MENTION,terrestrial,rule
f18d_5,f18d,Long clitoris,Female genitals are as long as a big snake,14,False,,False,False,False,NONE,,rule
f19_5,f19,Dangerous frog paramour,"After copulation with a frog, man's penis is injured",11,False,,False,False,False,NONE,,rule
f20_5,f20,A strong embrace,Man and woman embrace each other forever or for a long time,29,False,,False,False,False,NONE,,rule
f21_5,f21,"Woman turns into a tree, penis captured","Man copulates with a woman who turns into tree or rock, his penis is captured in it",5,True,,False,False,False,METAMORPHOSIS,terrestrial,rule
f22_5,f22,Study of partner’s body,Person asks another person of the opposite sex about destination or place of her or his genitals. Usually it is made after putting questions about function of other body parts; or person tries to use for sex different parts of the partner's body or tests them before reaching the best place where the genitals should be put,43,False,,False,False,False,NONE,,rule
f23_5,f23,Origin of menses: sexual act,Women menstruate because they bled in primeval time after the first defloration,18,False,,False,False,False,NONE,,rule
f24_5,f24,Origin of menses: a bite,Women bleed because fish or snake bites them. Usually it is invisible fish inside their body,9,False,,False,False,False,NONE,,rule
f25_5,f25,Origin of menses: girl smeared with blood,Woman is smeared with blood or red paint. Since then women menstruate,26,False,,False,False,False,NONE,,rule
f26_5,f26,Origin of menses: sacred objects lost,"The transition of sacred sound instruments (bull-roarers, big trumpets, etc.) from women to men is connected with beginning of menses among the women",5,False,,False,False,False,NONE,,rule
f27_5,f27,Girls and the water spirits,For girls and young women it is dangerous to come near water. Water creatures swallow them or drag away; a girl can die or become pregnant from a spirit; she can trigger a flood (rare: other cataclysm). Water spirits can come themselves to a girl who has her periods,49,False,,False,False,False,NONE,,rule
f28a_5,f28a,Primeval penis,"There is only one monstrous penis, a husband of primeval women or the amazons, usually growing out of earth or out of water in a lake",16,False,,False,False,False,MENTION,terrestrial,rule
f28a1_8,f28a1,Jumping penis,Alive penis exists as a separate being able to move and attack people,4,False,,False,False,False,NONE,,rule
f28b_10,f28b,Penis of wax,"Certain woman masturbates with a penis made of wax, gourd, wood, radish, etc. Usually her husband or male relative smears it with chile; the woman is hurt or killed",15,False,,False,False,False,MENTION,terrestrial,rule
f28c_10,f28c,Bear penis in hands of old woman,Woman masturbates with penis of a big animal killed by her husband or grandson,12,False,,False,False,False,NONE,,rule
f28d_5,f28d,Artificial conception,Woman conceives after masturbating with an artificial penis,12,False,,False,False,False,NONE,,rule
f29_5,f29,Girl sits on the ground,"A girl or young woman who is usually occupied with domestic work (is cooking, weaving, etc.) sits on the ground and copulates with a penis-like creature that crawls from below into her vagina",26,False,,False,False,False,NONE,,rule
f29a_8,f29a,Worm killed with boiling water,"To kill snake or worm paramour of a woman or girl, person pours on it boiling water, resin or spills live coals",10,False,,False,False,False,NONE,,rule
f30_5,f30,Snake paramour,"Woman or girl takes eel, snake, lizard, or worm for paramour. People kill or badly injure the paramour, the woman and/or her progeny or the woman herself is transformed into snake",113,False,,False,False,False,NONE,,rule
f30a_5,f30a,Worm-baby,"Woman is nursing a worm, caterpillar or reptile as her baby. People kill the monster",14,False,,False,False,False,MENTION,terrestrial,rule
f31_5,f31,The broken egg,Girl or woman is imperceptibly impregnated by snake when the content of a broken egg of a snake flows into her vagina or when she touches a dead snake,16,False,,False,False,False,NONE,,rule
f32_10,f32,Tree fruits for a woman,"Baby child or children who come out of mother's womb and turn themselves into adult men or a snake who lives in her womb climb up a tree and help the woman to gather fruits, bark, edible fungi, etc. Usually the child who is a snake returns to his mother's womb and adult man turns back into a baby; or the girl's love affair with a snake is discovered when her father climbs a tree to gather fruits for her",29,False,,False,False,False,METAMORPHOSIS,terrestrial,rule
f33_5,f33,Water creature paramour,"Certain woman or a group of women take for paramour a big water animal (caiman, otter, sea-lion, whale, anaconda; rare: water bird, crab), water spirit or monster. Husbands, brothers or (adoptive) children kill or maim paramour and/or (sometimes) the woman",64,False,,False,False,False,NONE,,rule
f34_5,f34,Land animal paramour,"Certain woman or a group of women takes for a paramour a big land animal. Husbands, brothers or (adoptive) children kill or maim paramour and (sometimes) the woman",71,False,,False,False,False,NONE,,rule
f35_10,f35,Paramour mutilated,"Person (usually a woman, rarely a man) has a monster or animal paramour or married woman has human lover. Legal marriage partner or close relative kills or maims paramour and serves his or her meat to the person (usually husband or brother serves paramour's penis to his wife or sister)",95,False,,False,False,False,NONE,,rule
f36_10,f36,Sons kill paramour,The (adoptive) children or grandchildren and not person's spouse or brother kill the paramour of their (step)mother or father,39,False,,False,False,False,NONE,,rule
f37_10,f37,Gourd vessel put on the surface of water,Person knocks the gourd vessel that floats above the water to call water monster or serpent. Usually a woman calls this way her monstrous paramour,14,False,,False,False,False,NONE,,rule
f38_5,f38,Women and sacred knowledge,"Women were possessors of the sacred knowledge, sanctuaries or ritual objects which are now taboo for them or they made attempts to acquire such a knowledge or objects",59,False,,False,False,False,NONE,,rule
f39_5,f39,The epoch of women,"The women dominated over the men in the past or in a far away land, were the active part in marriage relations, practiced activities which now are reserved of the men only",62,False,,False,False,False,NONE,,rule
f40a_5,f40a,Husband of the first women,An anthropomorphic male or an androgyne is the only possessor or leader of women,36,False,,False,False,False,NONE,,rule
f40b_5,f40b,A man in a village of women,A man gets into the village of women. Usually he has to satisfy every woman against his will or every woman claims him for herself,48,False,,False,False,False,NONE,,rule
f40c_10,f40c,Patriarch kills the boys,A powerful man kills every baby boy born by his wives or by his sister,12,False,,False,False,False,NONE,,rule
f41_5,f41,The men kill the women,The men of primeval community kill the women because of their unsocial behavior,15,False,,False,False,False,NONE,,rule
f42_5,f42,The men abandon the women,The men feel themselves offended by the women and abandon them,18,False,,False,False,False,NONE,,rule
f42a_5,f42a,Men turn into birds,"Young men and boys turn into birds or bats, fly away",8,False,,False,False,False,NONE,,rule
f43_5,f43,First women disappear,The women of the ancestral community kill or abandon the men,32,False,,False,False,False,NONE,,rule
f43a_5,f43a,The women kill the men,"The women of the ancestral community kill, try to kill or transform the men",20,False,,False,False,False,NONE,,rule
f43b_5,f43b,Women disappear under the ground,"When women of the ancestral community abandon the men, they disappear in the opening that leads underground",5,False,,False,False,False,NONE,,rule
f43c_5,f43c,Bat-husbands,"Marriage partners of the primeval women, the amazons or a solitary woman are small animals (usually flying foxes)",6,False,,False,False,False,NONE,,rule
f44_5,f44,Women and men separate,The women and the men of the primeval community quarrel and abandon each other,45,False,,False,False,False,NONE,,rule
f45_5,f45,The amazons,There are (or were) women who live apart from men in their own village or villages,147,False,,False,False,False,NONE,,rule
f45a_5,f45a,Conception from wind,"Before women got know how to conceive children from men, they exposed their genitals to the wind, sun and water; the women who live alone without men conceive children this way",19,True,,False,False,True,MENTION,celestial,rule
f46_5,f46,One for all,The only existing or available woman is used sexually by many men (animal people),21,False,,False,False,False,NONE,,rule
f46a_10,f46a,Woman in a tree,Men (animal people) discover a woman in a tree and copulate with her there,8,False,,False,False,False,MENTION,terrestrial,rule
f47_5,f47,Pieces of flesh turn to persons,"The body of the of a living creature (woman or snake) is cut into pieces. Every man gets his piece, new women emerge from them",11,False,,False,False,False,NONE,,rule
f47a_5,f47a,Men use pieces of woman’s flesh,Every man uses for copulation certain part of an only woman or takes a part of her body after it was cut into pieces,8,False,,False,False,False,NONE,,rule
f48_5,f48,Why women are different,Different women are not similar physically because pieces of the first woman's flesh distributed between men were of unequal quality or because males who copulated with her had different nature,4,False,,False,False,False,NONE,,rule
f49_5,f49,The abnormal birth,Cesarean operation upon a woman at childbirth as a custom,63,False,,False,False,False,NONE,,rule
f49a_5,f49a,Animal explains how to give birth,"A small animal (mouse, rat, rabbit, opossum, a bird) explains a woman how she can deliver her child in a natural way",9,False,,False,False,False,NONE,,rule
f50_5,f50,The often-born children,Child or children come out of mother's womb and return back,34,False,,False,False,False,NONE,,rule
f51_5,f51,Clandestine lover,"Person who conceals his or her identity comes to his or her lover at night. Next time, the lover puts a mark on the stranger's face, body or clothes doing this intentionally (to recognize him or her) or by chance (that leads to the identification)",108,False,,False,False,False,NONE,,rule
f51a_5,f51a,Aggressive sister,"When incest relations with her brother come to light, the sister openly claims her brother for a husband, turns into monster, kills people",5,False,,False,False,False,NONE,,rule
f51b_10,f51b,Following thread,"To get know the nature or locality of a person, another fastens a thread to his body and follows it",13,False,,False,False,False,NONE,,rule
f52_5,f52,Pubic hair for a bird’s crest,A bird person gets his crest putting on his head a pubic hair of a woman or part of her genitals,10,False,,False,False,False,NONE,,rule
f53_5,f53,Ugly husband,An ugly man marries a girl but conceals his face. Marriage is ruined after his face is seen,19,False,,False,False,False,NONE,,rule
f53a_5,f53a,Bat or owl hides his face,A man hides his face from his wife because she does not know that he is a nocturnal being (a bat or an owl),16,False,,False,False,False,NONE,,rule
f54a_5,f54a,Imperceptible scar (husband proves to be son),"After a rather long marriage, wife discovers some minor traits in her husband guise that help her understand that he is not a proper marriage partner but her close kin (brother or son) or a transformed animal",7,False,,False,False,False,NONE,,rule
f54b_10,f54b,Traces of feathers,A youth or boy decorated with feathers and paint copulates incognito with his mother or sister. They discover his identity noticing on his body traces of feathers or paint,3,False,,False,False,False,NONE,,rule
f55_5,f55,What do you want?,"A woman cannot understand what does her partner want. She points at, names or suggests different things. At last she points at, names or exposes her genitals. This is the right answer",16,False,,False,False,False,NONE,,rule
f56_11,f56,Watching vagina triggers incest,"A man or boy thinks about incest when he gets to see his daughter(-in-law)'s, sister's, or mother(in-law)'s vagina",24,False,,False,False,False,NONE,,rule
f56a_11,f56a,Shavings into the fire,"To create opportunity to see female genitals, a man throws something combustible into the fire which makes the woman fall on her back and expose her vagina",7,False,,False,False,False,NONE,,rule
f58_11,f58,Trickster and women,A man cohabits with a group of women (or with several women in succession) concealing his identity and/or intentions. He is either eventually exposed and punished by women or escapes to continue his tricks,41,False,,False,False,False,NONE,,rule
f59_11,f59,Man to woman: modified body,"To make believe that he is a female, a trickster transforms particular objects or creatures into female body parts or into a baby child",17,False,,False,False,False,NONE,,rule
f60_11,f60,Trickster cures maiden,A girl gets sick. A man comes to cure her but only copulates with her or makes an attempt to do so,18,False,,False,False,False,NONE,,rule
f61_11,f61,Trickster rapes a woman who carries him on her back,"A man pretends to be weak, ill or injured, asks a woman to carry him on her back. When she agrees, he makes attempt to copulate with her",19,False,,False,False,False,NONE,,rule
f62_11,f62,Incognito at the dancing party,An (ostensibly) sick person remains at home when other go to the dancing party. The person comes by himself or herself looking like a handsome man or beautiful girl. The man (woman) does not recognize him (her) and suggests to make love,17,False,,False,False,False,NONE,,rule
f63_11,f63,Trickster poses as woman and marries man,"A male person turns into woman and marries a man. He is either unmasked or abandons his ""husband"" by his own will",53,False,,False,False,False,NONE,,rule
f64_11,f64,The lecherous parent,Person changes his or (rare) her guise to marry his or her close relative in descending or (rare) ascending line,69,False,,False,False,False,NONE,,rule
f64a_11,f64a,Describes future husband,"Going away or pretending to die, a person bids his or her relative to marry another person who resembles him (her) or has some special traits; or he describes a man who should be met as a dear guest; person comes himself unrecognized and is taken for one whom he had described",56,False,,False,False,False,NONE,,rule
f64b_11,f64b,Incestuous woman,"A woman pretends to be a stranger to have sexual relations with her (grand)son, daughter or brother",31,False,,False,False,False,NONE,,rule
f65_11,f65,The false burial,"To realize his or her secret desire (illicit sex, refusal to share food with relations), person pretends to die and is abandoned at a burial place",105,False,,False,False,False,NONE,,rule
f65a_10,f65a,Death feigned to meet paramour,Person pretends to die. His or her wife or husband abandons him or her on a burial place. He or she marries his or her paramour,43,False,,False,False,False,NONE,,rule
f65b_11,f65b,Death feigned to eat burial food,Man pretends to die because he does not want to share food with the others and eats it alone at his burial place,24,False,,False,False,False,NONE,,rule
f65c_11,f65c,The feigned burial: boy exposes deceit ,"A man feigns death to marry his daughter or to eat burial food. One of the younger children recognizes the (adoptive) father or gets to see that the false dead is alive (escapes from the burial pyre, laughs, etc.)",25,False,,False,False,False,NONE,,rule
f65d_11,f65d,The feigned burial: wife does not believe,"A man feigns death and is abandoned at the burial place. His wife (mother, aunt) gets to know about the deceit and provokes the man to show that he is alive",9,False,,False,False,False,NONE,,rule
f66_11,f66,The false house,"Person’s father, grandson, brother, or sister pretends to be a stranger to commit incest (accordingly with the daughter, grandmother, sister, or brother), or a husband shams to be his wife’s brother because he wants to be taken by her as her blood relative. To realize his or her stratagem, the hero imperceptibly runs to another house where the object of his or her interest later comes and takes him or her for a stranger",10,False,,False,False,False,NONE,,rule
f67_5,f67,Old woman pretends to be man,"An old woman makes herself false penis and testicles, marries or attempts to marry her (step)daughter",10,False,,False,False,False,NONE,,rule
f68_10,f68,Death feigned: woman dresses up as a man,"A woman pretends to die or really dies. Her (former) paramour comes to her grave. She revives and goes with him. Not to be recognized, she dresses up as a man",4,False,,False,False,False,NONE,,rule
f69_10,f69,Obscene invitation ,"A woman's husband or male relative asks her (grand)children to invite her to make love with him. The invitation is expressed in an allegoric form. She understands, comes to him",6,False,,False,False,False,NONE,,rule
f70_10,f70,Potiphar's wife: false accusation of sexual abuse,"Woman makes vain overtures to young man and/or falsely accuses him of sexual abuse. Her husband believes that the young man is guilty, kills or tries to kill him",78,False,,False,False,False,NONE,,rule
f70a_10,f70a,Disordered clothes as evidence against innocent man,"To accuse a man or boy of (sexual) abbuse, a woman tears her clothes, smears or scratches her body pretending to be attacked",50,False,,False,False,False,NONE,,rule
f70b_10,f70b,Revenge of a rejected woman,A woman revenges on a man who rejected her love,64,False,,False,False,False,NONE,,rule
f70c_10,f70c,The castrated youth becomes a man again,"A young man falls victim of an intrigue and is mutilated (usually castrated). His members are restored by magic, he marries happily",7,False,,False,False,False,NONE,,rule
f70d_10,f70d,A disgraced informer,A castrate or girl pretends to be a man or a cripple girl conceles her injury. Some person gets to know about it and plans to expose the deception. At the last moment the hero or heroine magically becomes a real man (gets back the lost members) and the informer is disgraced,6,False,,False,False,False,NONE,,rule
f70e_10,f70e,A girl turns into a man,"A girl poses as a man, her sex is magically transformed and the man is happily married ",35,False,,False,False,False,NONE,,rule
f70e1_10,f70e1,Daughter instead of son,An old man needs a son to accomplish a man’s work or service. (Only the youngest) daughter sets to do it (successfully passing her father’s test and) guised as a man,13,False,,False,False,False,NONE,,rule
f71_10,f71,Susan and the old men (the innocent slandered maiden),"An innocent girl or young woman rejects a man who attempts to seduce her. The man accuses her of loose conduct, ultimately the truth comes to light",67,False,,False,False,False,NONE,,rule
f72_10,f72,Imitated violence,A woman asks a man to tie her before copulation in such a way that a watcher would think she is raped,2,False,,False,False,False,NONE,,rule
f73_5,f73,The illusory wound,Person mistakes a vulva or an anus for a wound; vulva is a unhealed wound on the body of the primeval women,40,False,,False,False,False,MENTION,terrestrial,rule
f74_10,f74,Naked person shams dead,"When a person sees a dangerous enemy, he or she shams dead taking his or her clothes off, or the enemy takes off them himself. The enemy believes that it is a corpse, lets it alone",19,False,,False,False,False,NONE,,rule
f75_5,f75,A siren and a tapir,"A hunter watches tapir who calls a water woman from the river or lake and copulates with her. Hunter does the same, becomes the woman's lover",4,False,,False,False,False,MENTION,terrestrial,rule
f76_5,f76,Animals teach to make love,"People learn to copulate after they see birds, fish or animals doing it",27,False,,False,False,False,NONE,,rule
f77a_8,f77a,Penis bridge,Huge penis is used as a bridge across water body,6,False,,False,False,False,NONE,,rule
f78_5,f78,Toothed anus,Person or creature has toothed anus or second head in place of the anus,6,False,,False,False,False,NONE,,rule
f79_5,f79,Animal wives,"Person marries several non-human wives in succession, every time (besides the last one) is disappointed",12,False,,False,False,False,NONE,,rule
f80_5,f80,Primeval people have no genitals,The first men and/or women have no genitals,22,False,,False,False,False,NONE,,rule
f80a_5,f80a,Genitals apart from the body,"Genitals exist by themselves as separate beings, they can be stuck to the human body, remove, etc.",40,False,,False,False,False,NONE,,rule
f81_11,f81,Bride in a river,A man mistakes his own reflection in river for a beautiful woman and makes attempts to marry her,10,False,,False,False,False,MENTION,terrestrial,rule
f82_11,f82,Incest with mother-in-law,A man uses a trick to have opportunity to make love to his mother-in-law or woman uses a trick to make love to her son-in-law. Usually a man takes with him on a hunt not his wife but her mother,27,False,,False,False,False,NONE,,rule
f82a_11,f82a,What owl cries about,"To lure prohibited sexual partner into his or her hammock, person imitates or interpretes in a certain way voices of birds and animals",4,False,,False,False,False,NONE,,rule
f83_11,f83,News precede man,"Person commits something shameful, obscene. Presumably, nobody could see him doing it. When he asks people, ""What's the news?"", they answer that so-and-so (this person) has done such a thing",20,False,,False,False,False,NONE,,rule
f83a_11,f83a,Indecent proposal made through children,Animal person comes to children of a big predator and tells them that he will copulate with their mother (or that he will beat her),28,False,,False,False,False,NONE,,rule
f84_11,f84,Prolonged celibacy imitated,"Person has sex with the wife of his host or brother. Trying to conceal his deed, he puts ashes or juice of a fruit on his glans that has to prove his long celibacy",4,False,,False,False,False,NONE,,rule
f85_5,f85,The Moon: contra men and pro women,The Moon (female or male) is the leader of women in their struggle against the men or leads the women away from the men,5,True,,False,False,True,MENTION,celestial,rule
f86_10,f86,Signal for paramour to come out,"Person summons with a certain signal his or her sexual partner or ward who is of non-human nature. Another person spies, uses the same signal or pronounces the same words, kills those who come to him or uses them sexually himself",102,False,,False,False,False,NONE,,rule
f86a_10,f86a,An eaten up pet,"Person take care for a fish, crab or other small creature. Another person spies on him or her, kills the pet and eats it up or try to do it",11,False,,False,False,False,NONE,,rule
