motif_id,n_ru_hits,n_en_hits,ru_hits,en_hits,name_en
k27q,5,0,пустыни | пустыню | степи | степь | тайге,,Milk of the wild beast
k27q1,1,0,пустыню,,To bring musical instrument
k27s,5,0,пустыне | степи | степь | тундровые | ярангу,,Contest: a race
k27ss,1,0,степь,,To win a race with an (old) woman
k27u,3,0,ледника | пустыню | степи,,Hide-and-seek
k27u2,1,0,степи,,News from the tumbleweed
k27v1,1,0,тайги,,To hit a needle
k27v3,1,0,степь,,To shoot an arrow though the ring
k27x3,4,0,джунгли | степи | яранги | ярангу,,The man persecuted because of his beautiful bride
k27x4,2,0,леднике | степь,,Climb a tree with a full glass in hand
k27z,1,0,степи,,Game of chance for life and death
k27z1,2,0,пустыню | степной,,"Bird, horse and princess"
k27z3,1,0,степи,,Cat with a lamp
k27z4,1,0,степи,,The trained animal of the gambler
k27z7,3,0,пустыне | пустыню | степь,,To get know what is the rose of the heart
k27z9,1,0,пустыне,,Why the fish laughed
k27zz,1,0,пустыня,,The outcast queens and the ogress queen
k27zz1,1,0,пустыня,,Only the youngest queen's child survives
k27zz2,1,0,пустыня,,"All queens are blind, one is half-blind"
k27zz3,1,0,степи,,The wife who should not be beaten
k28,9,0,пустыне | пустынным | пустыню | саванну | степи | степь | тундре | яранге | ярангу,,Father or uncle is rival and enemy
k29a,5,0,джунглях | пустыне | пустыню | степи | тундровые,,Survives in a fire
k29d,1,0,степи,,The drunk elephants
k2a,2,0,степной | степь,,Hero marooned in the underworld
k30,2,0,тундровые | ярангу,,Flying enemy abducts woman
k30a,1,0,саванна,,The chief’s wife and vultures
k32,12,0,айсбергом | пустыне | пустыню | саванну | степи | степь | тайге | тайгой | тундре | тундровые | яранга | ярангу,,The false wife
k32a,6,0,пустыне | степи | степь | тундре | тундровые | ярангу,,Travelling man leaves his wife or daughter for a short time
k32b,2,0,пустыне | пустыню,,Mother-in-law substitutes her daughter
k32b1,1,0,ярангу,,Mother substitutes her daughter
k32d,2,0,степи | степь,,"Sister sent to feed geese, servant taken for the sister"
k32e,1,0,степь,,"Ones of gold, of silver, of wood"
k32g,7,0,пустыне | пустыню | степи | степь | тайгу | тундре | тундру,,Punishment: torn apart by horses
k32g1,5,0,пустыне | степи | степная | степь | тайгу,,Forty horses or forty knives?
k32j,1,0,пустыню,,"Sister replaced by an ugly girl, brother accused of deception"
k33,3,0,пустыне | степи | степь,,Drowned woman remains alive
k33a,3,0,пустыне | степи | степь,,Younger brother transformed into animal
k33a1,2,0,степи | степь,,Children born in a well
k33b,1,0,степь,,Friends abandon a pretty girl
k33c,3,0,пустыне | степи | степь,,Girl from a fruit
k33d,3,0,пустыне | пустыню | степи,,Peau d'asne
k33d1,2,0,пустыне | пустыню,,The princess in the chest
k33f,4,0,пустыне | пустыни | пустыню | степь,,Basin of honey and basin of oil
k33g,4,0,пустыне | пустыню | степи | степь,,Fruits of two kinds
k33h,3,0,пустыне | степи | степь,,"The cat, the dog and the magic object"
k34,2,0,саванна | степь,,Fatal swing
k35,3,0,леднике | степной | степные,,False husband
k35a,5,0,пустыне | пустыню | пустыня | степи | степь,,Hero brands his rivals
k35a1,2,0,пустыню | степи,,Not to pick up a feather of fire-bird
k35a3,1,0,леднике,,The master becomes the servant
k35b,1,0,пустыню,,The most delicious dish
k35c,3,0,пустыне | пустыню | степь,,Ogre in a well
k35c1,3,0,пустыне | пустыню | степь,,The best is one whom you love
k36,3,0,пустыне | пустыню | степь,,Bewitched into animal
k37,8,0,джунгли | пустыне | пустыню | саванну | степи | степные | степь | тайгу,,Recognition-test
k37a,1,0,степь,,To recognize a man
k38,9,0,пустыне | пустыни | пустыня | степи | степная | степной | степь | тайге | тайгой,,Hero helps nestlings
k38b,6,0,пустыне | пустыни | пустыня | степи | степная | степь,,Snake threatens nestlings
k38b3,1,0,пустыню,,Hero takes care of nestlings
k38c,5,0,пустыне | пустыню | степи | степная | степь,,Bird carries hero to his destination
k38d,3,0,ледника | пустыне | степи,,Monster blocks waters
k38e,3,0,мерзлоты | пустыню | степи,,"Of copper, of silver, of gold"
k38f,3,0,пустыне | пустыня | степи,,The dragon-slayer
k39,3,0,пустыня | степь | тундру,,Man feeds his own flesh to a creature who helps him
k40,1,0,пустыне,,"One laughs, another weeps"
k41,1,0,степные,,Thunder against a serpent
k44,3,0,тундре | тундру | ярангу,,False parent
k44b,1,0,степь,,"Returning after long absence, person throws food to his mother"
k47a,2,0,ледник | степь,,A woman and a dog
k47b,2,0,степь | тайге,,Dog turns into handsome man
k47c,1,0,саваннах,,Origin of dogs
k48,3,0,пустыне | пустынной | пустыню,,Singing bird of the hero
k49,1,0,степь,,Dead mother returns to nurse her baby
k50,1,0,прерии,,False wife beheads enemy
k51,1,0,тундре,,The deceived wife
k52,1,0,ледником,,Rescue from the sea bottom
k52c,3,0,тундру | яранге | яранги,,The flood in a dwelling
k54,2,0,тундра | тундре,,Two giants
k56,4,0,пустыню | саванне | саванну | тундру,,Kind and unkind girls
k56a,5,0,тундра | тундре | тундру | тундры | яранги,,"The unworthy girl fails, the worthy one succeeds"
k56a3,1,0,тундра,,Not to fix laces on clothes and shoes
k56a5b,0,1,,frost,Conversation with the Frost
k56a7,0,1,,snow,Strawberries under the snow
k56a8,1,0,тундру,,Swallowed by boa
k56a8a,2,0,тундру | яранга,,Kind girl returns with a handsome man
k56a9,2,0,пустыне | степи,,Helpful mouse rings a bell
k56aa,1,0,яранги,,Dog tests his bride
k56b,8,0,пустыне | саванну | тайге | тундра | тундре | тундру | яранге | ярангу,,"The worthy man is rewarded, the unworthy punished"
k57,2,0,пустыню | степи,,Cinderella
k58,1,0,степь,,Construction of watercause: a tragic love
k59,1,1,ярангу,canoe,Box for Osiris
k60a,3,0,пустыне | степь | тайге,,How strong are these bonds?
k60b,2,0,пустыне | пустыня,,Invitation to coffin
k60c,2,0,пустыне | пустыню,,"Touchy with king, patient with stableman"
k62a,4,0,тайга | тайгу | тундровая | тундровые,,Quarrel of mouse and bird
k65,1,0,тундру,,Genii loci
k66,6,1,леднике | пустыню | пустыня | степи | степь | тундру,frost,Extraordinary companions
k66a,1,0,пустыне,,The land and water ship
k66b,2,0,леднике | пустыне,,Hero presents the received princesses to his companions
k67,2,0,степи | степные,,Burned moccasins
k67a,1,0,степи,,A drowned wife
k67c,1,0,степи,,Skin ribbon ripped off from the back
k70,2,0,тайге | тайгу,,Two sisters-in-law: the girl and the frog
k71,1,0,степной,,Coyote first betrays and then saves his brother
k72,6,0,пустыне | пустыню | степи | степная | степь | тайгу,,Three maidens
k73,7,0,пустыне | пустыни | пустыню | степи | степная | степь | тайгу,,Children of the youngest wife
k73a,3,0,пустыни | пустыню | степи,,Baby child substituted with pup
k73b,1,0,степь,,Innocent woman punished
k73c,2,0,пустыню | степи,,A girl in a bird's nest
k74,5,0,пустыне | степи | степной | тайге | тундру,,"Hero, his companions and a dwarf"
k74a,5,0,степи | тундра | тундру | яранги | ярангу,,Demon claims food and is wounded
k75,7,0,пустыне | пустыни | пустыню | пустыня | степи | степные | степь,,Bridegroom of the youngest daughter (The loathsome bridegroom)
k75a,6,0,пустыне | пустынный | пустыню | пустыня | степи | степь,,Thrown apple hits the chosen one
k76,2,0,пустыне | пустыни,,A strange son
k76b,1,0,пустыне,,Son the snake.
k77b,1,0,степь,,The animals in night quarters (Bremen town musicians)
k77b1,1,0,степь,,The wolf flees from the wolf-head
k78,2,0,саванну | степи,,Extracted from finger
k79,2,0,степи | степь,,Snake serves an example of resuscitation
k80,6,0,пустыне | пустыню | степи | степь | тайге | тайгой,,Repeated reincarnation
k80a,4,0,пустыне | пустыню | степи | степь,,A bird or an object tell about a murder
k80a1,2,0,пустыне | степь,,Bird tells about a murder
k80a2,3,0,пустыню | степи | степь,,Pipe tells about a murder
k80c,2,0,пустынной | степи,,The cranes of Ibycus
k80d,3,0,пустыне | пустыни | пустыню,,The stuck in pin
k81,1,0,пустыню,,The handless girl
k82,4,0,пустыне | пустыню | степи | степь,,Evil sister-in-law
k82a,2,0,пустыне | пустыню,,Pregnancy from the snake eggs
k83,3,0,пустыне | пустыня | степи,,The sons on a quest for a wonderful remedy for their father
k84,2,0,пустыне | тундру,,Sisters married to animals
k88,2,0,пустыне | степи,,The two travellers (Truth and Falsehood)
k88a,3,0,пустыне | пустынным | пустыню,,The blinded bride
k88b,4,0,пустыне | пустынным | пустыню | степи,,Food exchanged for eyes
k89,1,0,тайгу,,A girl and a witch: presents of kinsfolk
k89b,1,0,тайгу,,Brother abandoned in a tree
k89d,1,0,тайгу,,Girl hides turning into a needle
k8a,9,0,пустыне | пустыня | степей | степи | степные | степь | тайге | тайги | тайгой,,Jonah: swallowed by monster
k8aa,1,0,пустыню,,Jonah: swallowed by bird
k8c,1,0,степи,,Jonah: swallowed by terrestrial animal
k8c1,1,0,степи,,First swallowed by herbivorous animal and then by wolf
k8d,3,0,ледник | степи | степные,,Jonah: swallowed by anthropomorphic being
k8e,1,0,степные,,Gets inside via anus
k90,1,0,степи,,The black and the red ones
k92,2,0,пустыне | пустыню,,King Lear
k92a,3,0,пустыне | пустыню | степь,,The princess responsible for her own fortune
k92b,1,0,пустыне,,Love like salt
k93b2,3,0,пустыне | пустыню | степь,,Conception from eaten apple
k93b3,1,0,пустыне,,"Boys, colts and puppies are born the same day"
k93b4,1,0,степь,,"Woman, mare, and bitch birth give birth to human boys"
k94,4,0,пустыне | пустыню | степи | степь,,Bird of luck (eaten up head)
k95,3,0,пустыне | пустыню | степь,,The twining branches (united in death)
k96,4,0,леднике | пустыне | саванну | степи,,Fifty sons
k98,2,0,пустыни | пустыню,,(Animal) helper turns into household
k99a,1,0,джунгли,,The father will humble himself before the son
k99b,1,0,степь,,Eloping with the wrong man
l100,3,0,пустыни | степи | тайгу,,Transformation flight
l100a,1,0,степь,,A pursuer throws ahead the transformed fugitive
l100d,1,0,степи,,The entrapped suitors
l101,2,0,яранге | яранги,,Pieces of clothes thrown to pursuer
l103,2,0,саванне | саванны,,Obstacle flight (Atalanta type)
l104,2,0,пустыне | степь,,Fugitive and pursuer change guises
l106a,1,0,пустыню,,Stomach cut open
l107,1,0,тайги,,The ear-sleepers
l108,4,0,саванне | саванну | саванны | тайге,,The wolf and the kids
l108b,3,0,саванне | саванну | саванны,,The thin voice
l108c,1,0,тайге,,The white hand
l10a,2,0,степи | степной,,Demon comes to hunter’s camp-fire
l110,5,0,пустыни | саванне | саванну | степи | степь,,The devourer
l113,1,0,яранги,,The ogre bridegroom
l114,3,0,саванне | саванну | саванны,,The youngest one saves siblings from demon
l114a,3,0,пустыне | саванну | саванны,,A child who stays awake
l114c,2,0,саванне | саванну,,To exchange clothes with ogre's daughters
l116a,2,0,пустыне | степь,,Doe with golden horns
l120,3,0,пустыне | пустыню | степи,,Snake-women turn into apple-trees
l120a,3,0,пустыне | пустыню | степи,,Tongue of dragoness and the smith's pincers
l121,1,0,саванну,,Demonic woman marries hunter to kill him
l121a,1,0,саванну,,The hunter’s secret
l122a,2,0,ледника | степи,,Stitching up cracks in the earth
l125,3,0,пустыне | степи | степь,,Demonic wife recognized
l127,1,0,саванну,,Dancing ears
l128,1,0,степь,,You are Deo but I am Mahadeo
l14,1,0,тундре,,Reared up serpent
l15a,1,0,пустыне,,Vulnerable limb
l15b,1,0,степные,,To kill with a reed
l15c,1,0,степях,,Hero lies and remains unharmed
l15d,8,0,прерии | пустыне | пустыню | пустыня | степи | степь | тайги | тайгу,,The external soul
l15e,1,0,пустыне,,Hero’s life in his sword
l15f,1,0,пустыню,,"Heroine’s life in her necklace, ATU 412"
l15h,4,0,пустыне | пустыню | пустыня | степи,,The external soul: three or more objects one inside the other
l15i,1,0,пустыне,,Life in hairs
l17,1,0,тундровые,,Face on breast
l17a,1,0,ледника,,Eyes on the back of the head
l18,1,0,тундровые,,Multi-headed bird
l19b,5,0,пустыне | пустынь | пустыню | степная | тайге,,Multi-headed being
l1e,1,0,саванны,,Person creates monstrous birds
l23,2,0,степи | степь,,Proteus
l23a,1,0,степь,,Transformation into the fire
l25,2,0,прерии | пустыне,,Demonic girl sucks brains
l27,1,0,тайге,,Girl eaten up
l32,1,0,саванне,,Gluttonous stone
l33a,1,0,степные,,Rock pursues stealer
l34,1,0,тундре,,Burning hair
l37a,2,0,мерзлоты | пустыня,,To get know causes of problems
l37b,3,0,пустыне | пустыню | степи,,Secrets accidentally overheard
l38,4,0,тундра | тундре | тундровые | тундру,,Demon’s trap
l38a,3,0,тундра | тундре | тундру,,A sticky trap
l39,2,0,пустыню | степи,,Person hides in a tree but descends
l4,1,0,пустыню,,The unmasked murderer
l40,5,0,пустыне | пустыня | степи | степь | яранге,,Reflection and shadow
l40b,2,0,пустыню | степи,,Absurd actions to lure person out
l41,1,0,тундре,,Hero escapes on the way
l42,2,0,тундре | тундру,,Hero carried to ogre’s home
l42b,2,0,пустыню | тайгу,,Credulous children of ogre
l42d,0,2,,frozen | ice,Ogre’s tongue frozen to ice
l42g,1,0,пустыне,,Hansel and Gretel
l42g1,2,0,пустыне | пустыни,,"Chops are heard, woodcutter is gone"
l42g2,1,0,пустыне,,Birds destroy trace
l42j,4,0,тундру | яранга | яранге | яранги,,Tree bends down (mice in the ogre’s bag)
l44a,5,0,тундра | тундре | тундру | яранги | ярангу,,Give me your liver
l52,1,0,тайги,,Hero escapes from top of a tree
l55,2,0,тундре | тундры,,Monster killed with hot liquid
l57,2,0,ледник | леднике,,Person gets his body part back
l57a,3,0,пустыне | пустыню | пустыня,,Hero’s companion gets his body part back
l5c,1,0,степные,,Rolling head pursues people
l5e,1,0,степные,,Wife’s headless body pursues her husband
l5f,2,0,тайге | тундру,,Helpful skull
l6,3,0,саванна | саванну | степные,,Demon clings to person
l61,1,0,саванну,,Endocannibal
l65,2,0,тайги | тайгу,,Demonic baby
l65a,4,0,пустыне | пустынной | степи | тайги,,The cannibal sister
l65b,6,0,пустынной | саванне | степи | тайгу | яранге | яранги,,Dogs save their master
l65c,3,0,тундровые | тундру | яранги,,Cannibal elder sister
l65d,1,0,яранги,,Younger sister of cannibal woman
l72,7,0,пустыне | пустыня | саванну | степи | степные | тундровые | тундру,,The obstacle flight
l72a,4,0,пустыне | степи | тундровые | тундру,,Comb becomes a thicket
l72b,1,0,степи,,Whetstone becomes a mountain
l72c,1,1,пустыне,ice,Obstacle flight: the thrown mirror
l72g,1,0,пустыня,,Obstacle flight: the thrown salt
l73,4,0,пустыне | тундре | тундровые | тундру,,Ogre tries to drink a river dry and bursts
l81,3,0,пустыне | степи | степная,,Demon’s fire
l81a,1,0,степная,,Cat brings a misfortune
l81a2,1,0,степи,,Demon comes to drink blood of a girl
l81b,1,0,степи,,Hero's cut off legs
l85,9,0,пустыню | таежный | тайге | тайги | тундре | тундровый | тундровых | яранге | ярангу,,One-sided people
l85a,1,0,пустыню,,One-sided child
l86,2,0,степные | тундре,,Woman pursues her children
l90,3,0,пустыне | пустыню | степей,,Mouth from the earth to the sky
l92,1,0,степная,,Animal shams being helpful
l93a,5,0,пустыню | тундру | яранга | яранге | яранги,,Helpful fox
l93b,2,0,пустыня | степь,,Helpful rabbit
l94,6,0,пустыне | пустыню | пустыня | степь | тайга | тайгу,,Child promised to demon
l94a,2,0,степь | тайгу,,Caught by a beard
l96,2,0,пустыне | степь,,Sold in animal’s guise and comes back
l96a,2,0,пустыне | степь,,"Oh, dear!"
l96b,2,0,пустыня | степь,,The yogi boiled in his own pot of oil
l98,1,0,степь,,Cannibal owl
l99,1,0,степные,,Bring me a spit to roast you!
l9d,1,0,степи,,Sharp hands
l9e,3,0,пустынной | степи | степь,,Copper nose
m10,1,0,саванна,,A girl and a honey
m101,2,0,тундра | тундровые,,"Some are afraid of men, and some of partridges"
m104,1,0,саванну,,Make believe killing of kinsfolk
m106,1,0,степи,,Meaningful name
m106b,1,0,степи,,“Last year” in a demon’s house
m108,3,0,тундре | тундровые | тундру,,Trickster carries away people's property
m108a,2,0,степная | степной,,Trickster as an adopted child
m109,1,1,пустыню,ice,The tail-fisher
m109a,0,2,,frozen | ice,To sit on the ice waiting for food
m111,0,1,,banana,Monkey on the banana tree
m112,2,0,пустыня | степь,,Animals dig a well
m113,1,0,пустыня,,Water is taboo for a certains bird
m114,3,1,пустыню | степи | степь,sand,Rope of sand
m114a,1,0,степи,,Clothes of stone
m114b,2,0,степи | степь,,Not clothed and not naked
m114b1,1,0,степь,,"What is the fattest, sweetest, swiftest?"
m114c,1,0,степи,,To protect from rain by his own body
m114e,1,0,степной,,To tether a horse to the summer
m114g,1,0,пустыню,,"The camel is high, the goat has a long beard"
m114i,2,0,степной | степь,,"Asked about their relatives, girl or boy answers with wit"
m116,3,0,пустыне | пустыню | тайга,,Wisdom of hidden old man saves kingdom
m116a,2,0,пустыне | пустыню,,Ungrateful son reproved by naive actions of own son
m118,1,0,пустыню,,Source of values is destroyed imprudently
m118a,1,0,пустыню,,Forty thieves and jars with oil
m118b,1,0,пустыню,,Repository inside a cow
m123,1,0,арктика,,Raven marries goose
m123b,0,1,,canoe,Trickster tied to a boat
m123c,1,0,арктика,,Unlucky flight with migratory birds
m13,1,0,степные,,God grants requests to his visitors
m134,1,0,степь,,A tower of wolves
m135,1,0,степной,,Wolf and two rams
m135a,2,0,степи | степной,,Wolf regrets for being so stupid
m136,1,0,степи,,Sickle as an unknown beast
m13a,1,0,степные,,Transformed into stone
m140,2,0,пустыню | тайгу,,The theft of fish
m147a,1,0,степи,,Foxes will meet at the bazaar
m148,1,0,пустыню,,Agrees to be eaten up
m152,2,0,пустыне | пустыню,,Why only one wolf?
m152a,1,0,пустыне,,Animal tied to another for safety
m153,3,0,степи | степной | тайга,,Letter on the hoof
m153b,2,0,степи | степь,,Wolf rides a horse
m156,4,0,саванны | степи | степного | степь,,The ungrateful one returned to captivity
m157,3,0,пустыни | степи | степь,,Impossible giving birth
m157a1,2,0,степи | степь,,Father is giving birth
m157a2,1,0,степь,,Bull or cart give birth
m157a3,2,0,степи | степь,,To milk a bull
m157a4,1,0,степь,,To fish on a hill
m157b,1,0,степь,,To take the one thing she holds dearest
m160,1,0,саванну,,Unkind words are more painful than wound
m161,2,0,степи | тайга,,A dog in the bag
m162,1,0,пустыню,,Eats his own innards
m167,1,0,степь,,A tiger taken for a bull
m171b,2,0,тундре | тундру,,Shoulder-blade with no meat
m174,1,0,пустыню,,Eats from behind
m178,1,0,пустыню,,The lying goat
m179,0,1,,ice,A house of bark and a house of ice
m179a,2,0,пустыню | степного,,The owner driven out of his house
m181a,1,0,пустыне,,Fire at the sunset
m19,1,0,прерия,,The bait-person
m192,1,0,пустыню,,Trapped in the animal hide
m195,1,0,степи,,Two horses: which is older?
m195a,1,0,степи,,Which end of a stick is a butt?
m197,1,0,леднике,,The effectiveness of fire
m198,3,0,степи | степной | тайга,,Wise brothers (the king is bastard)
m198a,2,0,степи | тайга,,Wise brothers (the strayed camel)
m198a1,3,0,пустыне | степи | степной,,"The eldest: it is round, the middle: it is hard, the youngest: it is a nut!"
m199,1,0,пустыню,,Squeezing the (supposed) stone
m199a,1,0,пустыню,,Extracting brain from the earth
m199c1,1,0,пустыню,,Throwing contest
m199i,2,0,степь | тайге,,Screaming or whistling context
m21,4,0,пустыня | саванну | саванны | тундру,,A protector hides fugitives
m22,1,0,степные,,Helpful stock
m23,1,0,степные,,Mock plea
m24,1,0,степные,,Turtle’s war party
m29a,1,0,тундровые,,Trickster-raven
m29b,2,0,степи | тундровые,,"Trickster-fox, jackal or coyote"
m29b2,1,0,тундровые,,The bear is a failure/enemy
m29c,1,0,степные,,Trickster-skunk
m29g,1,0,тундровые,,Trickster-hare or rabbit
m29j,1,0,степные,,Trickster is a water bird
m29k,1,0,степные,,"Trickster is a turtle, a toad or a frog"
m30,2,0,степи | степные,,Trickster falls down
m30c,1,0,степи,,Flying person falls down after breaking taboo
m30d,1,0,степи,,The tortoise lets itself be carried by birds
m31,3,0,тундру | яранга | яранге,,Trickster thrown into the water
m32a,1,0,степные,,Eating pieces of flesh that fall out
m36,0,1,,ice,Dismantles himself to crawl through an opening
m38,3,0,саванну | тундре | тундру,,Stupid imitation (all versions)
m38a,1,0,саванну,,The bungling host
m38b2,1,0,степи,,Three daughters-in-law at the king's banquet
m39a,3,0,степь | тайгу | тундровые,,Fool takes off boots from animals’ legs
m39a4a,2,0,пустыню | степь,,Selling a cow to a lizard (Money inside the statue)
m39a4b,1,0,пустыню,,Frogs the spinners
m39a5a,1,0,пустыню,,The sausage rain
m39a6,1,0,пустыню,,Misunderstood instructions: to cut a road
m39a6a,2,0,степи | степь,,Clever daughter-in-law of the imprisoned khan
m39a6d,3,0,пустыня | степи | степь,,A coded message
m39a6f,1,0,степи,,To sell a sheep and to bring the sheep and the money
m39a6h,1,0,степи,,Plucking geese
m39b,1,1,тундровые,canoe,Fool attacks his own dwelling
m39b1,0,1,,canoe,Paddling in both directions
m39i,1,0,пустыне,,The treasure of the hanging man
m4,1,0,степные,,A wrong step
m40,1,0,степи,,The distorted instructions
m42,4,0,саванну | степные | яранга | яранге,,Eyes: lost and found
m42a,2,0,яранга | яранге,,Eyes of berries
m43,1,0,степи,,Doll as a decoy
m45a,2,0,тайге | тундровые,,Old man and animals
m46a,1,0,тундровые,,The picked up baby
m49,13,0,ледник | леднике | прерии | пустыне | пустыню | степи | степные | тайге | тундра | тундре | тундру | яранги | ярангу,,Man in a skin of another
m49a,7,0,ледник | леднике | степные | тундра | тундру | яранги | ярангу,,The substituted medicine-woman
m5,1,0,саванну,,Provoked insult
m53,1,0,степные,,Hoodwinked dancers
m53b,1,0,степные,,Bag with songs
m53c,1,0,степные,,Red eyes
m54,1,0,степь,,Runway awakes in the same house
m57a,7,0,пустыне | пустыни | пустыню | степи | степные | степь | тундре,,Beads discharged from body
m57c,2,0,пустыню | средиземноморье,,Ass defecates gold
m57d,1,0,пустыню,,"Beat, cudgel!"
m57d4,0,1,,frost,Frost grants a wish
m5a,0,1,,canoe,Rat in the water
m60,5,0,тундра | тундре | тундру | яранги | ярангу,,Sham doctor: finished off enemy
m60a,1,0,степные,,Unrecognized hero comes to one whom he wounded
m60a1,1,0,пустыню,,Herdsman explains how to ferry
m60a2,2,0,пустыню | степи,,False servant licks soles
m60b,4,0,тундра | тундровые | яранга | яранге,,False doctor: a finished off victim
m62b,2,0,степная | степной,,Trying to hit the hero hit each other
m62d,1,0,степь,,Hare in rotten hide
m65,1,0,степные,,"Trickster jammed, meat stolen"
m65a,1,0,степные,,Squeaking tree
m65b,1,0,степные,,The lost quarry
m66,2,0,степной | степные,,Itch after artichoke eating
m68,1,0,степные,,Breaking wind scares game
m69,1,0,степные,,Getting fast in an animal skull
m74a,2,0,тайгу | тундровые,,Strange names of the babies
m74aa,1,0,степь,,Theft of food by playing godfather
m74ab,2,0,тайгу | тундровые,,Fox in a boat
m75a,1,0,степные,,Revenge for falling from the sky
m75b,2,0,пустыне | степи,,Hero inside carcass
m75b1,1,0,пустыне,,Marco the Rich
m75b1a,1,0,тайге,,The predestined wife
m75b2,1,0,степным,,Bird tries to avert predetermined marriage
m75c,1,0,пустыне,,Treasure on mountain top
m77,3,0,пустыне | пустыню | степи,,A soiled bed
m78,2,0,пустыни | степи,,Thumbling
m78a,1,0,пустыни,,Tail-boy
m79,2,0,степной | степные,,Dancing with reeds
m7a,3,0,тундру | яранга | яранге,,Left in the water
m7b,2,0,яранга | яранге,,Fox asks passers-by to help him
m80,1,0,степные,,Quail scares trickster
m81,2,0,саванна | саванну,,Blind persons
m82,3,0,ледник | ледника | степные,,Animal person ties rattles to its tail
m84a,2,0,тайге | тайгу,,Goat resuscitated
m84c,1,1,тайгу,desert,Guest of bush spirits
m85,3,0,степь | тайги | тундровая,,The fox bluffs
m86,1,0,степные,,Rock punishes trickster
m8a,1,0,саванна,,Birds peck a rock to release prisoners
m90,1,0,пустыни,,Snake gives a correct answer of what material the object is made
m90a,2,0,пустыни | пустыню,,To marry a man who would give a correct answer
m90a1,1,0,пустыни,,The louse skin
m91,4,0,степи | степь | тундра | тундровые,,The killed corpse
m91a,4,0,пустыню | тайгу | тундра | тундровые,,Simulated killing (a bag with blood)
m91b,2,0,пустыню | степь,,The sold ashes
m91b1,1,0,пустыне,,The sold skin
m91c1,3,0,пустыне | пустыню | тундра,,Herd from the river bottom
m91c2,6,0,пустыне | пустыню | саванны | степь | тундра | тундровые,,Put into bag
m91d,2,0,тундра | тундровые,,The drowned shaman
m93,3,0,степные | яранга | яранге,,Body part as a guard
m93a,1,0,степные,,Guard punished
m94,2,0,тундра | тундру,,Sliding downhill
m94a,1,0,тундра,,Wolf in a basket
m97,1,0,степные,,Blind directed by trees
m98,2,0,пустыни | пустынь,,Who are more numerous?
n1,5,0,пустынной | степи | таежные | тайга | тайги,,Initial formula: when Altai was but a small tussock
n10,4,0,степи | тундровые | тундры | ярангу,,The transparent body
n10b,1,0,степи,,The transparent neck
n10c,2,0,тундры | ярангу,,Inner organs are seen through the body
n11,1,1,степи,snow,As snow and blood
n13,1,0,степь,,Girl is the scissors
n14,1,0,степной,,Storyteller on the wedding
n16,0,1,,ice,The ice horse
n2,1,0,степного,,Initial formula: when a goat was a colonel
n20,2,0,пустыне | степь,,They attained their desires
n24,2,0,степь | тайгу,,Like another Moon
n26,2,1,степи | степного,ice,When wheat grew on the ice
n29,1,0,тундровые,,Before the water starts to boil
n30,1,0,пустыне,,Crying while looking in one direction and laughing while looking in another
n4,1,0,степи,,Ribs with no intervals
n5,5,0,степи | степь | тайги | тайгу | тундра,,"They recognize winter by rime, summer by rain"
n8,1,0,степь,,Storyteller instead of a cannonball
n9,1,1,степь,snow,Who is coming?
